ensemblID	E003	E004	E005	E006	E007	E017	E021	E022	E050	E055	E056	E059	E089	E090	E094	E097	E098	E100	E109
ENSG00000105722	17	4	21	30	18	18	11	22	21	13	7	15	26	27	21	11	21	12	19
ENSG00000105723	30	5	28	40	24	26	26	36	25	25	20	26	29	37	27	12	34	15	23
ENSG00000105732	30	6	25	37	25	25	28	26	24	25	16	25	31	31	24	13	28	15	22
ENSG00000105737	11	1	0	0	12	0	14	12	0	0	6	0	0	13	0	3	10	0	0
ENSG00000105974	12	15	15	15	8	38	7	2	9	37	28	25	6	21	11	17	15	17	16
ENSG00000106571	23	13	20	18	26	20	11	15	10	29	14	18	15	21	9	23	8	10	5
ENSG00000106633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000106683	0	0	0	0	0	0	0	0	0	0	15	2	0	0	2	5	2	3	3
ENSG00000106714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000106991	0	0	0	21	0	22	0	0	0	15	13	0	25	26	18	22	20	17	13
ENSG00000106992	9	5	0	17	7	0	12	0	0	0	0	15	21	20	8	14	16	7	0
ENSG00000107014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107104	18	22	34	25	9	28	14	13	21	19	14	23	19	35	17	26	34	26	14
ENSG00000107130	24	6	28	23	10	28	18	33	14	27	30	29	38	36	5	17	9	6	0
ENSG00000107147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107262	10	2	18	18	8	22	9	15	11	19	26	11	19	27	13	8	20	10	10
ENSG00000107485	26	18	24	0	11	10	21	10	0	6	3	6	0	0	13	7	0	7	9
ENSG00000107521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107560	6	4	10	14	5	7	6	9	10	11	13	11	14	14	9	7	11	3	9
ENSG00000107779	24	20	22	19	19	26	19	27	16	25	19	17	24	31	22	22	27	23	13
ENSG00000107815	20	11	20	21	20	17	14	27	16	18	17	21	23	24	14	17	12	11	11
ENSG00000107816	31	18	27	34	25	25	18	33	27	26	25	33	31	35	21	27	19	14	14
ENSG00000107831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107859	15	6	16	23	21	18	16	14	16	7	8	16	19	21	17	18	13	13	14
ENSG00000107902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108469	4	4	9	9	10	4	6	6	9	4	2	2	8	10	4	5	7	2	11
ENSG00000108479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000108557	16	10	27	29	23	27	14	0	18	17	15	18	23	24	23	16	22	15	17
ENSG00000108592	11	7	17	19	9	14	7	13	14	17	20	11	15	13	11	7	13	4	3
ENSG00000108604	13	8	22	19	17	18	9	19	14	16	17	13	12	16	13	8	12	4	9
ENSG00000108622	0	0	0	0	0	0	0	0	0	0	22	0	0	28	18	0	0	18	14
ENSG00000108753	11	10	0	21	0	10	10	0	0	0	10	0	0	0	14	2	17	5	16
ENSG00000108821	21	11	25	30	21	25	18	23	0	21	0	17	26	29	15	28	19	13	12
ENSG00000108826	7	2	13	15	4	11	7	15	9	9	11	16	15	16	13	7	14	14	11
ENSG00000108883	5	6	10	11	8	9	8	8	0	8	8	6	9	11	5	8	8	4	3
ENSG00000108946	8	10	15	9	6	20	3	0	15	30	19	17	19	42	12	27	9	12	7
ENSG00000108953	22	3	23	29	16	24	11	22	30	23	22	17	31	30	15	17	22	21	15
ENSG00000109062	25	11	25	35	20	8	26	29	27	15	11	15	40	29	31	18	29	18	14
ENSG00000109072	15	6	0	0	10	17	10	0	13	0	16	12	15	15	23	10	0	6	12
ENSG00000109079	16	6	21	21	10	18	13	21	14	17	16	10	18	13	24	10	27	6	13
ENSG00000109083	16	6	21	21	10	18	13	21	14	17	16	10	18	13	24	10	27	6	13
ENSG00000109084	10	9	14	11	7	13	9	11	0	5	3	7	14	13	8	10	9	3	9
ENSG00000109099	12	9	24	22	6	35	6	10	0	30	22	23	26	32	7	26	10	22	15
ENSG00000109132	0	4	0	0	0	0	12	0	0	9	0	0	0	0	3	0	0	3	0
ENSG00000109133	24	10	18	19	23	8	19	19	20	9	11	13	20	22	11	9	16	11	4
ENSG00000109205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000109208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000109339	12	0	0	0	11	8	0	0	0	0	4	3	2	0	3	10	0	3	0
ENSG00000109536	0	15	0	12	0	22	10	0	3	12	8	15	11	13	5	8	6	2	4
ENSG00000109670	22	34	17	22	5	31	14	16	12	24	14	17	20	35	10	12	9	19	17
ENSG00000109758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110218	17	20	14	12	8	20	13	18	10	17	12	15	11	14	15	7	17	9	11
ENSG00000110713	10	13	18	20	6	14	7	20	17	14	15	11	9	7	10	8	8	8	4
ENSG00000111046	17	12	0	9	4	0	7	1	0	0	0	0	2	7	0	0	0	11	0
ENSG00000111077	12	15	10	24	16	16	11	12	10	7	7	5	11	10	18	17	18	13	16
ENSG00000111196	9	8	11	10	5	11	6	6	15	11	9	6	4	9	4	2	9	10	6
ENSG00000111276	12	14	7	6	10	16	11	6	11	11	7	14	9	17	9	5	18	13	21
ENSG00000111325	12	7	24	26	8	22	10	18	22	24	22	21	27	27	22	13	26	21	20
ENSG00000111344	15	0	0	0	0	0	8	13	0	0	0	0	0	0	7	0	7	0	2
ENSG00000111700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000112164	22	14	0	0	16	0	18	26	0	3	2	0	0	0	18	0	23	2	0
ENSG00000112246	12	7	0	0	10	0	18	16	0	15	11	12	13	7	0	0	16	8	0
ENSG00000112319	5	2	5	7	8	9	4	1	0	6	4	3	3	10	4	2	4	8	0
ENSG00000112494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000112902	8	7	19	19	10	19	4	7	0	20	17	14	10	13	2	5	5	0	2
ENSG00000113522	7	2	14	15	7	14	8	9	0	7	8	9	12	14	13	7	12	5	12
ENSG00000113658	12	11	30	26	5	27	11	13	9	20	21	13	28	35	8	14	11	14	16
ENSG00000113758	18	10	24	33	18	24	14	21	13	20	15	19	27	28	24	16	25	15	16
ENSG00000114062	6	4	3	0	2	4	2	3	3	7	3	0	2	4	1	1	4	11	5
