gene	E003	E004	E005	E006	E007	E008	E017	E021	E022	E028	E029	E032	E033	E034	E046	E050	E051	E055	E056	E057	E059	E080	E081	E082	E083	E084	E085	E086	E088	E089	E090	E091	E092	E093	E094	E097	E098	E100	E109	E114	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000162877	1	3	4	0	1	1	2	2	2	0	3	3	1	7	4	3	3	2	2	1	1	8	3	4	5	3	1	4	3	5	3	9	4	2	7	4	12	2	4	1	0	1	0	0	3	4	1	2	4	1	1	2	2
ENSG00000162878	11	21	7	18	31	11	14	17	14	1	1	3	1	5	3	6	4	12	13	0	4	30	6	8	28	38	33	43	26	25	42	8	42	5	11	51	15	28	38	18	6	1	14	0	9	18	1	5	2	10	19	0	15
ENSG00000162885	8	8	7	5	5	8	9	8	9	7	8	7	6	8	8	7	6	15	15	7	7	16	6	7	12	7	8	9	8	7	8	9	7	10	8	8	11	9	14	11	8	6	3	6	10	9	9	10	5	10	7	6	12
ENSG00000162888	12	11	4	16	16	9	15	11	12	11	19	23	11	16	13	9	6	18	20	15	9	12	5	3	21	11	3	23	22	21	28	16	22	17	12	11	22	18	6	13	23	20	7	12	13	16	6	15	12	13	15	16	13
ENSG00000162889	8	14	7	21	12	6	14	10	13	11	12	34	19	21	15	11	11	14	21	10	8	23	6	5	41	23	19	16	14	22	19	15	22	13	11	22	19	31	27	9	26	6	7	5	19	21	11	19	15	17	23	5	13
ENSG00000162891	2	5	6	6	1	5	3	5	3	8	10	4	4	9	7	3	2	8	8	11	4	2	2	3	5	5	2	1	5	2	2	4	9	2	5	3	6	2	2	8	2	7	1	9	5	6	1	5	4	3	12	14	4
ENSG00000162892	9	10	5	16	10	6	14	9	6	12	10	17	14	27	8	8	7	21	22	15	18	8	12	6	13	7	5	10	9	7	5	11	10	7	4	12	10	12	6	16	5	17	2	15	12	11	2	9	5	7	15	21	10
ENSG00000162894	13	12	5	8	13	10	5	14	9	7	18	36	23	51	21	20	20	10	11	8	11	10	6	3	15	18	14	10	10	13	11	11	17	21	9	8	11	12	36	18	17	14	4	6	10	11	3	21	11	5	7	12	6
ENSG00000162896	4	5	0	4	1	4	1	4	4	4	13	14	6	16	13	6	9	7	4	4	3	2	3	0	2	18	13	9	6	4	6	8	17	6	12	0	8	1	53	13	10	5	6	4	4	6	0	14	13	2	3	3	1
ENSG00000162897	3	3	1	3	1	5	3	5	5	4	11	6	4	7	8	5	5	5	4	4	4	2	2	1	2	27	21	13	8	5	4	10	21	6	12	1	10	2	27	8	9	4	4	6	5	6	1	11	13	3	5	3	1
ENSG00000162909	14	25	26	31	13	12	32	19	25	17	21	18	18	27	20	16	13	44	39	17	20	28	12	13	20	24	20	23	23	26	23	23	29	16	26	27	17	32	18	38	9	19	11	15	23	37	22	21	19	27	35	51	30
ENSG00000162913	5	5	3	7	7	3	5	6	4	5	4	9	6	7	3	3	3	11	10	6	3	4	3	2	22	6	4	7	6	19	12	2	4	2	3	4	3	44	6	10	2	4	4	2	10	11	2	9	6	4	6	6	6
