gene	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000000419	2	2	4	5	5	4	1	3	5	3	2	2	4	1	1	2	5	1	1	1	2	1	2	8	3	14	3	2	6	2	1	1	1	1	7	10	17	5	2	14	1	1	2	1	1	1	2	1	1	1	1	3	4	1	2	5	1	2	1	2	1	3	1	1	1	2	1	4	5	4	4	1	1	1	3	6	2	2	1	2	3	1	1	1	1	2	2	5	2	1	1	2	3	3	1	6	2	2
ENSG00000000457	3	4	7	4	3	4	2	3	7	6	3	3	4	2	2	3	2	6	1	8	4	4	3	2	3	5	5	5	8	6	7	2	5	3	8	17	9	4	1	1	3	1	3	1	1	3	3	4	3	3	1	8	5	5	3	5	4	5	5	1	1	4	3	3	7	2	5	5	5	2	2	6	3	4	4	5	6	1	7	2	5	3	2	1	5	1	1	1	4	2	1	1	4	4	3	4	2	11
ENSG00000000460	7	7	11	3	4	7	3	2	5	3	5	4	1	5	1	5	3	3	1	1	1	1	1	3	2	3	3	1	3	1	2	1	1	2	4	4	3	5	2	10	2	2	3	1	2	2	2	1	1	1	2	2	1	1	4	1	1	2	0	1	1	3	1	2	1	1	3	3	2	3	1	1	1	1	2	2	3	1	1	1	3	1	3	5	1	1	2	4	1	2	5	1	5	5	3	2	1	3
ENSG00000000938	8	5	4	2	5	6	11	9	4	5	3	5	2	1	4	0	13	1	14	14	21	11	11	9	9	14	13	13	12	11	24	8	9	1	10	13	15	6	9	8	17	10	1	7	9	20	8	12	10	19	11	12	12	7	17	10	3	3	1	6	9	8	10	22	5	13	20	2	5	6	7	15	8	7	15	21	10	8	16	11	24	21	1	26	12	1	3	4	2	2	1	5	11	1	3	4	3	3
ENSG00000000971	0	0	0	4	0	5	2	0	0	0	0	0	1	0	0	0	1	4	0	0	3	1	1	0	0	2	1	0	0	2	0	0	4	2	6	3	1	0	0	2	0	4	0	5	0	1	0	0	0	2	0	2	0	3	1	1	2	0	0	5	4	0	0	1	0	2	0	3	1	0	6	1	6	0	3	2	4	6	3	0	0	0	1	7	0	15	0	0	3	2	2	6	1	3	3	0	4	3
ENSG00000001036	2	1	1	3	0	6	1	2	1	2	1	1	1	1	1	5	4	1	4	3	2	3	3	3	3	2	3	3	2	2	2	1	2	1	4	3	5	1	2	1	4	2	3	1	1	2	1	2	1	1	2	1	3	1	2	3	9	2	1	3	2	3	1	4	3	5	5	6	1	2	3	3	1	2	5	10	3	2	2	3	4	2	1	0	3	1	1	0	1	2	1	1	9	1	2	1	2	1
ENSG00000001084	17	9	5	5	4	17	0	9	0	12	12	9	9	7	19	4	12	5	3	4	2	3	3	4	4	3	2	2	4	4	4	3	4	2	5	4	3	13	3	2	2	8	3	10	11	10	12	10	8	5	11	6	15	10	8	7	3	4	4	2	4	4	5	4	6	9	4	8	7	1	11	8	4	7	11	9	9	5	13	11	4	6	12	4	3	2	6	8	2	3	3	3	5	4	3	11	4	6
ENSG00000001167	4	5	5	10	5	8	0	5	0	10	5	2	11	6	4	7	5	2	2	3	5	4	2	10	4	6	4	7	7	9	5	3	2	4	7	7	8	6	4	11	5	4	4	5	4	4	3	2	4	4	2	8	8	14	4	3	9	10	15	11	13	5	11	11	14	10	5	7	9	5	18	6	4	6	19	20	7	5	16	7	17	4	2	7	4	2	6	2	4	10	1	1	12	3	5	2	2	3
ENSG00000001460	5	1	4	4	0	8	5	3	7	5	1	5	13	1	4	1	4	7	3	7	6	6	5	5	4	12	7	7	7	5	7	3	7	11	6	16	14	14	2	9	3	5	0	7	14	10	13	15	16	11	14	14	7	8	15	4	9	8	5	1	2	9	11	5	8	4	13	3	7	7	4	10	16	6	6	7	26	2	13	7	15	9	12	2	6	13	3	8	9	6	9	7	7	12	8	11	10	10
ENSG00000001461	4	1	6	3	0	5	6	3	3	3	1	3	8	1	2	0	6	4	2	5	4	6	3	9	3	13	5	7	5	5	2	2	6	8	6	14	15	12	4	7	3	4	0	3	17	10	13	17	17	10	16	12	7	6	6	1	9	8	5	0	3	7	6	4	6	5	10	4	7	7	4	8	14	4	3	10	12	2	10	5	11	4	5	2	3	8	3	5	7	3	4	9	8	7	5	6	8	6
ENSG00000001561	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	3	3	1	1	2	2	1	2	2	3	3	5	3	1	0	3	0	0	0	0	0	1	2	1	2	5	3	2	1	3	3	2	2	2	2	2	0	2	2	2	3	4	1	2	2	2	8	3	0	3	0	8	3	2	3	3	3	5	3	2	1	2	4	0	3	3	0	0	0	0	3	0	0	2	0	0	0	0	0
ENSG00000001626	4	0	0	1	0	2	0	1	1	3	0	4	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	1	1	0	1	4	0	5	0	0	7	7	0	0	0	0	1	1	0	3	3	0	7	0	0	9	12	0	0	1	4	0	2	0	0	0	0	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	1	1	1	2	1	5	3	3	3	1	3	4	3	1	2	1	3	3	1	2	2	1	1	1	1	3	1	2	1	1	1	1	2	6	3	9	4	12	2	5	2	3	5	1	9	9	6	6	7	6	9	2	2	3	1	4	1	1	2	2	2	4	1	3	1	2	2	6	3	5	2	2	2	1	3	3	1	3	1	2	1	1	1	2	3	1	2	5	3	3	2	1	3	3	4	7	2	4
ENSG00000001630	2	4	3	2	4	8	1	5	5	2	4	3	2	2	3	1	2	1	1	1	3	2	1	1	1	2	1	1	4	2	1	1	1	1	1	6	2	6	1	8	1	1	2	3	2	2	3	2	7	3	3	1	2	2	2	4	1	1	2	1	1	1	1	1	2	1	3	5	1	1	4	1	3	1	2	3	2	1	2	1	3	1	1	3	4	1	2	3	1	1	1	1	3	1	1	1	1	3
ENSG00000002016	5	5	4	3	3	8	10	0	7	7	6	4	5	4	4	5	8	3	2	3	4	2	3	6	2	7	2	4	4	2	3	3	3	5	9	13	9	9	6	11	4	6	8	2	4	6	4	2	5	5	3	5	3	4	4	6	4	3	3	3	3	4	3	6	4	6	8	6	5	2	13	6	5	4	11	14	5	8	6	5	7	6	2	5	4	3	5	5	3	3	4	3	7	4	5	6	4	6
ENSG00000002330	11	8	12	8	7	7	9	7	5	5	7	7	11	5	9	6	18	4	5	5	5	5	4	6	4	3	4	6	4	5	5	4	5	5	5	17	26	18	29	23	7	5	7	6	20	18	19	16	17	22	12	13	9	7	15	8	9	8	7	8	5	12	8	5	13	6	16	12	8	12	13	13	12	5	13	33	14	7	10	6	10	4	6	11	5	9	6	9	9	6	5	10	8	7	10	7	7	8
ENSG00000002549	4	1	1	1	0	4	5	4	1	3	3	3	3	0	4	1	4	3	5	1	2	1	2	1	1	2	1	2	2	1	1	1	1	3	2	14	10	2	4	12	3	2	5	6	9	9	12	10	13	12	15	5	4	5	5	6	7	7	4	7	3	4	2	6	2	6	10	5	4	2	7	1	2	4	9	6	10	3	6	3	10	4	1	3	5	2	8	2	2	3	3	3	9	2	3	1	1	5
ENSG00000002587	2	8	3	0	0	0	2	4	6	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	10	1	2	0	0	1	1	9	6	5	5	7	13	5	4	1	1	6	1	3	1	0	0	0	2	2	2	6	1	2	33	1	0	0	6	5	1	0	2	7	2	8	2	3	3	1	0	4	1	0	7	0	0	0	0	1	0	0	5	0	0
ENSG00000002726	1	0	9	0	1	3	3	6	0	1	0	1	8	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	1	0	0	0	0	0	8	1	3	3	0	8	6	1	0	2	13	5	1	1	4	1	5	0	0	1	10	7	1	6	8	6	1	6	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
ENSG00000002745	0	0	0	2	1	6	0	3	2	1	0	0	10	0	1	1	1	2	0	6	0	0	0	0	0	0	0	0	0	2	2	1	0	3	0	5	3	2	1	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	3	1	3	0	0	0	0	1	2	1	0	1	0	1	0	0	0	0	0	1	0	4
ENSG00000002746	6	5	1	5	0	10	1	1	2	4	4	5	3	2	6	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	1	0	0	0	0	5	3	5	2	4	4	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	1	0
ENSG00000002822	7	5	8	3	5	7	3	6	3	5	8	5	11	4	4	6	16	4	11	11	3	3	3	5	2	7	3	3	5	2	5	2	2	6	12	37	31	10	17	27	3	5	2	5	6	13	10	9	10	11	8	8	7	4	11	6	5	6	1	6	11	3	8	10	3	10	14	7	5	4	8	6	6	3	7	17	10	6	9	3	9	8	3	7	8	6	3	6	6	5	4	3	10	5	7	6	5	8
ENSG00000002834	28	27	22	22	17	23	20	18	17	21	15	17	31	12	20	13	32	14	9	16	22	14	17	14	15	11	16	19	17	14	16	15	8	13	15	37	29	19	23	24	14	11	23	12	23	13	17	14	15	24	20	19	19	16	17	13	9	14	21	8	14	12	10	13	18	14	27	18	10	10	30	18	16	15	21	34	25	9	21	9	25	16	9	11	13	12	7	14	16	13	11	12	15	23	18	15	17	22
ENSG00000002919	6	3	5	8	6	10	5	7	7	6	6	5	5	3	4	3	6	4	8	8	7	3	2	8	5	7	4	6	5	7	9	5	3	5	7	17	13	10	9	6	7	2	3	3	8	14	10	13	7	9	11	4	4	2	10	3	2	3	4	5	6	2	8	8	2	5	3	3	6	3	4	8	4	2	4	5	12	4	6	2	7	9	2	4	7	2	2	5	4	4	6	3	12	4	4	6	4	5
ENSG00000002933	1	0	5	0	1	1	0	6	1	1	0	1	13	0	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	2	2	6	0	17	0	11	3	5	3	7	10	19	9	11	20	1	13	14	4	3	8	6	13	6	15	2	10	10	1	0	5	19	14	12	7	18	19	7	25	9	2	12	0	0	1	0	1	0	0	0	0	0	7	0	2	0	0	0
ENSG00000003056	7	4	3	3	3	11	3	0	3	3	4	4	2	4	1	3	5	1	1	3	5	6	5	14	7	10	10	12	12	10	7	4	2	1	1	5	4	3	4	9	10	2	3	1	2	6	3	1	6	3	2	3	2	2	3	2	1	2	3	1	1	1	1	7	2	1	2	3	3	2	4	5	3	1	2	2	7	1	9	1	5	5	1	3	3	1	1	2	1	1	1	2	7	1	4	2	3	2
ENSG00000003137	0	0	1	0	0	2	5	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	5	2	0	2	0	9	9	0	2	13	5	14	7	14	8	4	4	0	6	8	0	1	0	4	10	1	1	11	1	1	3	0	1	15	0	4	2	1	4	18	4	5	3	0	18	4	9	0	1	6	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000003147	5	2	1	0	2	9	2	4	4	3	4	2	0	3	3	1	4	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	2	2	1	1	1	2	4	0	3	1	2	3	7	2	2	2	4	2	3	0	3	2	5	2	1	3	2	2	3	2	3	4	14	4	1	5	1	2	3	3	0	8	14	3	1	1	1	2	3	0	0	0	1	0	0	0	0	1	2	3	0	0	0	0	0
ENSG00000003249	11	5	8	6	3	7	21	13	3	5	6	5	7	5	10	9	17	3	3	3	6	4	5	2	3	5	2	9	4	5	3	1	4	4	3	12	22	5	22	18	3	4	6	4	18	14	16	11	21	21	19	8	7	2	6	4	5	4	8	6	4	3	7	5	6	4	9	10	7	1	16	8	2	2	5	17	5	10	5	3	4	6	4	8	2	3	7	5	2	4	6	7	3	5	4	3	3	4
ENSG00000003393	3	5	1	4	4	11	4	6	5	3	2	7	11	2	3	2	4	9	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	6	13	14	12	4	1	7	2	1	11	5	4	1	2	1	6	6	1	2	1	2	1	2	6	5	3	2	1	1	1	1	1	10	3	5	3	1	5	3	2	3	7	6	1	1	2	1	5	2	1	1	3	2	1	9	5	4	4	1	2	6	5	4	2	5
ENSG00000003400	6	4	0	0	1	4	1	0	2	3	3	2	1	1	3	2	3	3	6	6	11	8	9	10	6	17	13	19	9	12	10	9	4	0	11	3	7	2	0	5	8	10	0	6	0	5	3	3	1	3	3	10	5	5	8	4	7	10	4	3	6	4	7	11	7	16	19	1	3	0	8	13	9	1	8	10	17	4	19	1	10	14	1	5	1	1	11	1	0	0	6	4	19	0	1	1	1	1
ENSG00000003402	5	21	12	24	1	10	10	10	13	12	11	9	17	0	4	3	7	8	11	10	11	11	10	14	9	18	13	19	12	13	10	11	11	9	15	24	25	23	9	9	18	12	20	14	20	16	19	16	17	21	17	16	21	12	29	14	17	16	15	11	13	18	11	16	16	20	35	3	18	8	40	14	14	17	32	51	26	13	29	16	23	27	10	12	8	5	11	10	9	8	9	17	14	12	17	10	10	16
ENSG00000003436	8	12	10	14	5	16	6	10	10	13	10	12	23	3	3	2	4	9	0	0	0	10	1	0	0	0	0	0	0	0	0	1	9	10	7	20	19	4	0	5	0	7	4	10	1	2	0	1	1	3	0	13	8	9	4	8	9	6	1	12	13	23	2	5	2	8	11	5	5	5	9	4	14	7	10	3	8	7	9	3	5	3	9	3	0	11	23	4	11	6	9	5	0	7	13	3	11	11
ENSG00000003509	18	14	2	7	2	22	8	5	8	12	12	11	8	9	8	3	13	3	1	1	2	3	2	5	3	8	3	3	6	5	1	1	2	8	7	6	6	10	4	17	2	3	2	1	2	2	1	2	2	3	2	1	7	2	4	8	1	1	2	1	1	2	1	1	1	2	2	3	2	1	6	1	1	2	2	3	1	1	1	2	1	3	2	3	2	1	1	4	1	2	2	2	5	6	2	5	3	2
ENSG00000003987	4	2	0	2	0	3	1	2	2	2	0	1	1	1	3	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	3	2	1	0	0	0	1	1	3	5	6	3	3	3	2	5	2	0	0	0	2	2	2	4	8	7	9	3	0	1	1	3	4	0	0	1	5	3	0	3	3	1	3	5	0	0	0	0	3	0	1	4	0	1	2	2	0	1	2	0	1	0	1
ENSG00000004059	6	1	3	2	0	3	2	5	5	4	2	2	4	1	2	1	7	3	4	3	3	3	4	4	5	4	2	5	3	3	3	2	4	6	5	8	7	5	8	8	4	8	8	7	7	6	4	3	7	5	5	4	4	3	4	5	4	3	5	4	3	3	3	4	5	4	5	8	11	5	5	2	3	5	4	6	3	3	4	5	5	4	3	5	4	3	4	4	4	4	3	4	5	3	4	4	3	4
ENSG00000004139	5	5	2	2	3	2	7	5	6	8	3	4	4	2	3	4	6	3	2	5	7	3	3	6	4	3	6	5	4	5	7	4	4	3	5	15	21	2	7	7	6	3	8	5	9	11	10	4	6	11	4	11	5	4	7	5	8	8	8	4	3	5	5	0	6	6	12	9	9	3	5	6	7	2	9	11	7	2	7	3	7	6	3	3	3	7	5	4	2	4	1	5	6	4	2	3	3	4
ENSG00000004399	17	22	24	12	5	7	22	11	21	15	15	13	17	1	13	10	23	11	11	1	4	8	4	2	1	1	4	1	3	3	4	2	6	9	16	29	44	3	18	18	6	14	20	22	24	21	19	22	16	31	20	29	28	23	32	21	17	18	13	23	26	26	16	19	20	25	30	32	13	9	41	23	24	22	31	51	24	18	29	15	26	23	20	19	2	6	16	1	16	13	7	9	16	15	21	2	15	20
ENSG00000004455	1	8	4	1	0	4	2	0	1	2	2	1	3	0	1	1	0	5	10	2	4	5	1	2	1	8	5	3	3	2	5	1	4	5	11	14	7	7	9	17	2	8	1	14	5	7	6	10	8	5	7	17	3	6	5	2	12	13	4	3	4	6	4	3	8	12	6	4	4	0	17	12	11	5	5	16	21	12	15	3	2	10	3	6	5	5	4	6	6	9	1	3	10	3	2	6	3	6
ENSG00000004468	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	1	0	4	9	2	4	4	5	3	9	1	4	2	1	7	5	0	3	6	1	0	1	1	3	4	1	1	2	2	2	1	1	2	3	4	6	2	1	0	1	0	0	0	0	1	0	2	10	0	4	4	1	0	1	3	12	1	1	2	4	11	3	11	2	7	9	2	25	6	2	0	0	0	0	0	0	3	0	0	0	1	0
ENSG00000004478	11	6	5	2	2	7	6	0	4	7	1	2	12	4	3	2	6	3	1	5	7	3	4	10	5	8	5	5	5	6	2	4	5	5	12	12	9	6	6	9	3	6	9	6	14	10	14	10	16	17	8	7	8	4	9	8	10	7	4	5	4	3	6	8	7	8	9	12	5	1	7	2	5	5	10	14	5	4	6	13	4	5	4	6	4	3	2	6	2	2	3	9	5	4	1	5	6	6
ENSG00000004487	5	3	2	4	1	6	8	8	6	2	4	4	2	3	2	2	4	2	4	3	2	2	2	2	1	2	1	1	1	2	2	1	1	5	4	5	5	10	1	4	2	1	2	1	2	3	2	1	2	3	2	3	3	2	6	6	2	1	3	2	2	2	1	2	2	2	3	5	2	2	3	1	3	1	2	4	2	2	2	1	3	1	2	4	10	3	1	7	5	2	1	2	8	8	2	4	2	4
ENSG00000004534	6	8	8	7	4	6	7	5	8	6	3	7	8	2	5	2	7	3	6	6	6	4	2	6	2	4	3	3	5	5	2	3	4	5	5	11	13	6	6	8	4	7	7	2	5	3	2	5	6	4	4	4	5	8	3	12	6	7	8	4	3	2	3	3	3	4	8	6	6	1	7	4	3	3	5	8	6	3	11	2	5	4	3	5	10	4	6	5	4	2	5	9	11	5	4	3	4	5
ENSG00000004660	8	2	0	8	2	4	6	8	1	0	2	3	13	0	3	2	13	4	7	6	6	7	6	7	6	7	5	7	9	5	6	5	6	7	6	17	15	4	7	10	9	9	4	8	12	14	9	8	13	16	10	17	8	7	11	11	6	13	5	9	12	2	7	7	10	7	17	11	12	7	8	14	9	5	13	23	13	5	23	4	16	6	4	4	3	4	1	4	4	7	5	7	11	7	5	2	5	7
ENSG00000004700	3	2	2	3	2	3	3	0	2	2	2	2	2	1	2	1	2	1	1	3	3	4	2	3	2	7	3	4	7	2	3	2	1	3	2	5	5	2	3	15	2	2	3	1	2	3	2	1	2	2	4	2	2	1	2	4	2	2	2	1	1	2	1	2	3	2	4	2	3	2	3	3	2	2	3	3	3	1	3	1	3	3	1	3	2	1	2	2	2	2	1	2	4	1	2	2	1	1
ENSG00000004766	2	1	2	0	0	2	0	3	0	2	0	1	2	1	1	1	1	2	2	2	2	9	1	3	1	2	1	2	3	2	2	1	7	1	5	2	2	3	0	4	2	1	1	3	3	2	2	2	2	3	2	3	2	2	2	2	9	9	9	0	1	1	2	3	3	2	3	0	2	0	3	10	23	1	2	3	9	2	2	1	3	1	2	2	2	2	2	2	1	1	2	6	3	2	2	1	2	3
ENSG00000004776	15	11	13	8	8	8	6	11	11	8	5	9	13	5	9	4	17	7	7	12	8	9	8	13	9	6	9	6	14	11	7	7	10	7	8	25	28	9	13	24	8	9	10	6	9	15	16	14	11	19	12	14	22	10	11	16	9	10	9	10	11	11	13	12	15	15	17	20	15	10	16	8	10	9	9	36	12	8	16	13	15	19	6	17	11	6	8	4	8	7	7	16	13	7	10	8	12	13
ENSG00000004777	10	6	3	5	4	4	3	10	4	3	2	3	5	2	3	1	16	2	2	2	2	5	3	4	3	1	4	1	5	4	2	1	4	2	3	20	19	5	7	12	2	1	2	1	2	7	5	5	6	13	3	4	8	2	3	7	3	2	5	2	1	3	7	5	4	4	6	11	6	5	3	2	3	1	3	24	4	1	3	6	6	8	2	10	3	2	2	1	4	3	3	4	5	2	1	2	3	3
ENSG00000004779	12	6	2	4	4	13	8	9	4	7	10	5	6	3	5	3	7	4	3	3	3	3	1	2	1	2	2	2	2	4	2	2	2	3	7	12	15	2	2	12	1	1	3	3	2	3	3	1	5	2	4	3	3	4	2	5	5	4	3	1	2	2	2	1	2	12	6	3	4	1	5	1	1	5	15	14	4	1	3	2	3	3	3	3	2	4	5	2	3	6	5	4	4	3	2	2	4	5
ENSG00000004799	0	6	2	4	0	0	2	5	3	3	0	2	5	0	0	0	0	2	8	4	0	2	0	0	0	0	0	0	0	0	3	0	2	2	2	3	3	2	4	6	2	13	8	16	14	15	11	13	13	11	13	13	19	12	20	16	5	6	10	3	3	9	2	6	11	20	15	28	13	2	20	5	11	19	21	20	21	8	29	11	9	15	3	5	2	7	0	0	0	3	2	2	14	0	4	0	1	3
ENSG00000004809	0	3	2	1	1	3	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	6	2	4	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	1	1	2	0	0	5	0	0	1	0	0
ENSG00000004838	12	7	7	9	4	5	11	11	9	8	5	8	19	5	9	3	18	9	16	11	15	8	8	23	16	14	15	14	17	12	13	11	10	12	14	30	38	13	14	29	12	13	17	10	17	23	18	16	14	26	25	17	22	12	23	14	12	15	17	11	11	11	17	13	17	13	28	17	14	6	26	16	12	12	21	37	20	8	21	16	19	16	7	15	7	11	8	10	7	4	6	9	18	9	16	11	11	17
ENSG00000004846	2	1	0	2	1	2	0	0	1	6	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	1	0	0	1	4	14	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	3	0	1	1	2
ENSG00000004864	5	15	6	6	2	8	1	5	7	9	4	7	3	2	7	1	2	3	5	4	2	4	1	1	2	4	1	3	2	1	2	1	2	3	2	3	1	5	1	4	1	6	2	12	8	12	17	14	9	7	18	4	4	2	1	2	4	4	3	2	2	5	4	4	8	6	5	3	1	1	5	5	5	3	2	2	7	2	9	1	3	4	1	3	4	3	6	6	2	3	2	2	9	2	2	6	2	3
ENSG00000004897	2	6	4	5	1	3	2	3	7	2	1	1	10	1	2	1	1	5	3	4	9	9	3	5	7	5	8	4	6	6	7	4	7	4	7	12	11	7	3	8	1	5	3	4	4	6	4	4	4	6	5	7	6	4	6	3	6	5	2	7	9	5	5	8	7	7	7	5	4	3	6	7	5	4	6	9	5	4	10	4	9	4	1	7	6	1	3	3	6	7	4	9	18	5	4	2	4	8
ENSG00000004939	1	2	0	2	0	3	2	1	1	2	0	1	0	0	1	0	2	1	1	0	2	4	0	1	0	1	0	0	1	0	1	0	3	0	1	9	19	1	8	2	2	1	0	1	1	1	1	1	1	1	2	2	0	0	1	1	1	1	0	4	5	5	2	2	3	3	2	5	2	1	1	2	1	1	2	9	2	1	2	0	2	1	0	0	0	1	0	0	3	6	2	8	1	2	0	0	2	2
ENSG00000004948	1	1	1	1	0	5	0	1	1	0	1	2	0	1	2	2	1	0	3	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	0	0	0	1	0	2	1	2	0	1	0	0	1	1	1	2	1	0	0	0	0	4	7	2	0	1	0	0	1	1	2	0	1	1	2	1	0	0	0	1	0	0	1	1	1	0	0	2	0	0	0	0	0	1	2	0	0	1	0	0
ENSG00000004975	28	16	26	25	15	18	24	21	15	18	16	17	22	15	16	8	24	9	13	14	21	12	10	11	8	14	8	15	12	15	11	10	14	15	16	34	38	13	27	30	10	13	20	10	19	26	19	18	20	23	19	18	17	13	27	18	11	12	24	18	17	19	10	11	18	16	30	23	23	7	32	16	17	11	25	34	20	15	29	16	28	15	10	25	5	10	9	22	10	13	11	16	15	17	21	13	13	19
ENSG00000005001	4	1	6	1	1	3	1	1	1	5	1	2	6	0	1	1	4	2	1	1	14	8	3	3	3	4	6	4	4	8	10	5	5	2	1	7	19	2	6	4	3	2	1	4	2	4	2	1	3	2	2	5	3	1	5	2	3	4	5	2	1	7	7	1	4	1	8	4	5	2	9	5	5	1	1	12	8	2	6	1	6	7	4	1	1	4	1	7	1	1	1	1	1	6	1	3	1	4
ENSG00000005007	4	3	6	3	4	6	1	5	6	5	4	3	9	1	1	1	7	7	4	6	5	5	4	12	8	14	10	6	11	10	3	3	5	8	8	15	22	9	9	11	4	10	4	7	8	13	10	9	9	10	13	4	11	5	9	9	12	9	17	5	8	5	7	9	6	6	20	11	8	2	8	5	4	7	7	16	8	4	9	6	6	3	2	4	10	4	9	6	6	7	4	4	11	5	9	6	10	14
ENSG00000005020	2	3	3	3	0	1	1	5	6	3	1	1	5	1	2	1	4	7	1	3	1	2	2	1	1	1	1	1	1	1	2	1	2	4	3	4	4	21	1	5	2	9	3	3	3	1	2	2	2	2	2	7	6	3	7	4	3	5	2	2	2	2	3	1	4	3	5	2	3	0	4	4	6	4	2	3	4	2	5	5	1	4	3	2	2	2	2	6	2	3	5	2	1	2	2	11	5	3
ENSG00000005059	3	2	2	5	5	7	0	2	5	5	2	2	3	0	1	3	4	2	3	2	6	3	2	7	3	22	5	6	12	3	2	2	1	4	2	3	4	5	2	2	2	3	0	1	1	2	1	1	1	1	2	3	2	3	1	0	2	2	6	4	3	5	2	3	3	4	7	2	4	2	3	2	1	4	5	3	3	2	3	2	7	4	1	5	2	1	1	4	1	6	5	4	6	3	2	4	2	4
ENSG00000005073	0	0	0	22	0	0	9	0	9	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	3	2	11	17	4	0	18	1	5	0	0	0	0	0	0	0	0	0	21	9	0	1	0	12	35	0	15	6	26	0	4	0	0	6	0	0	1	7	8	11	11	0	3	13	9	0	0	9	1	7	2	0	12	0	0	13	13	3	0	0	0	14	2	0	14
ENSG00000005075	3	2	2	1	0	0	0	5	2	2	3	2	6	1	1	0	2	2	1	3	4	3	1	5	1	5	3	3	2	3	3	2	2	3	4	9	17	2	4	11	3	1	0	4	6	7	7	9	4	8	7	3	3	1	2	5	0	3	1	0	2	1	2	1	3	4	5	2	0	1	7	4	4	3	1	13	6	1	3	1	3	4	2	5	4	2	2	1	4	6	2	4	2	3	2	1	3	4
ENSG00000005100	3	5	4	4	3	5	5	3	4	3	4	4	5	3	3	4	6	4	6	5	6	5	5	5	6	12	5	4	3	4	4	5	3	3	7	12	10	7	9	14	4	3	4	5	5	4	8	4	7	3	8	3	3	4	3	5	3	3	4	4	3	3	3	3	3	3	3	7	6	4	4	3	3	3	3	5	4	4	3	3	3	3	3	6	5	4	6	4	3	3	5	5	9	3	3	3	4	3
ENSG00000005102	9	2	22	0	6	4	5	9	8	8	1	3	2	3	6	4	5	0	2	0	6	5	3	5	4	4	9	2	4	7	0	1	1	0	0	9	12	7	3	7	1	18	0	1	0	0	0	2	0	1	0	5	5	6	13	4	5	5	0	11	13	9	16	13	1	11	5	7	2	7	8	10	4	7	17	20	4	9	9	4	6	16	0	0	9	5	4	0	0	2	1	0	2	1	0	3	0	0
