gene	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
ENSG00000110063	2	2	8	6	4	8	4	0	6	2	1	1	6	2	1	3	3	3	6	3	7	5	5	6	3	10	4	7	9	4	5	4	5	4	8	7	14	7	4	20	7	6	7	5	8	6	4	4	8	9	5	11	4	4	5	10	4	4	1	4	7	4	5	6	6	4	10	11	4	5	7	11	5	5	6	14	13	5	9	5	6	9	3	11	13	7	2	5	3	6	1	2	17	3	5	7	3	4
ENSG00000110066	10	4	4	2	4	9	8	3	10	4	2	5	5	3	3	4	13	4	2	3	5	5	3	4	3	6	2	3	7	6	3	3	2	7	2	6	10	3	7	3	3	8	5	8	10	11	11	7	7	6	4	6	7	5	6	5	3	6	6	4	6	3	8	3	6	6	14	8	4	4	3	5	5	4	5	12	11	2	10	4	2	4	2	2	3	2	7	3	2	3	3	3	6	4	3	3	3	4
ENSG00000110074	3	3	5	9	6	5	11	0	9	5	2	2	4	2	2	3	8	3	6	4	6	5	4	9	4	13	7	9	9	7	4	3	3	3	4	13	15	5	7	13	3	5	8	3	6	9	9	4	9	13	5	6	5	5	4	7	5	4	5	3	4	4	3	5	4	3	12	9	3	4	9	4	4	4	6	14	4	4	4	6	7	2	2	6	3	2	5	4	4	3	3	5	13	2	5	3	4	4
ENSG00000110075	10	6	4	9	4	13	12	4	10	7	8	6	6	1	10	4	14	5	4	4	9	5	2	10	4	24	8	6	14	8	7	4	4	4	19	14	14	6	13	12	3	12	4	6	9	12	6	7	8	11	8	6	12	4	5	11	7	8	11	4	8	2	11	5	2	8	12	15	2	1	27	8	5	17	10	23	13	11	11	11	8	4	2	6	7	4	6	4	2	4	3	5	23	5	6	5	3	9
ENSG00000110076	10	2	0	0	2	5	5	2	4	4	1	2	2	0	6	5	17	1	5	4	5	3	2	12	5	8	5	6	4	4	3	3	3	2	5	9	16	2	12	5	2	5	3	4	28	24	30	23	21	30	24	1	13	0	3	4	4	3	1	1	2	2	8	4	1	5	4	8	0	5	4	5	1	8	2	18	2	2	2	7	2	9	3	5	1	3	0	2	1	2	1	1	8	2	1	1	1	3
ENSG00000110077	0	0	5	0	0	0	1	2	3	1	0	0	0	0	0	1	1	0	13	3	0	4	1	0	0	0	0	0	0	0	1	0	5	0	3	0	0	0	1	1	0	4	0	11	2	8	3	6	1	2	5	15	4	9	0	12	8	14	0	2	5	4	0	1	1	2	9	2	0	0	0	17	20	7	4	3	13	8	14	3	2	8	0	8	2	2	0	1	0	0	7	8	12	0	0	1	0	0
ENSG00000110079	1	1	2	0	1	1	1	0	2	3	0	2	0	0	2	1	2	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	4	0	3	0	4	1	3	1	1	1	5	5	2	1	2	0	0	0	0	2	13	0	2	0	1	5	0	1	0	1	7	4	3	0	1	2	4	6	1	0	3	0	1	0	0	0	0	0	0	1	0	14	0	0	0	0	0
ENSG00000110080	11	7	6	6	2	7	21	0	9	6	2	7	10	2	11	3	16	4	4	1	2	4	3	2	1	8	2	3	1	1	9	1	8	6	15	25	20	13	30	36	2	7	13	24	17	20	20	23	19	23	20	20	8	9	21	20	6	9	0	19	19	17	10	6	9	31	43	66	7	8	17	22	19	12	26	48	27	12	26	16	9	26	7	20	8	10	7	5	6	12	8	6	17	6	11	11	12	14
ENSG00000110090	3	3	1	3	2	5	3	0	1	3	2	2	6	0	1	0	5	1	7	3	5	6	8	7	4	4	7	7	8	6	4	5	5	2	17	12	10	3	8	11	5	5	8	11	4	7	7	7	5	8	5	17	17	13	6	7	9	11	5	3	5	7	14	8	13	7	14	19	7	4	10	13	12	17	10	28	21	4	18	10	9	6	2	9	8	9	4	2	3	2	4	4	16	2	5	3	2	3
ENSG00000110092	14	10	8	9	8	5	16	9	13	11	13	15	12	4	6	4	19	7	0	2	0	3	1	1	0	2	1	0	0	3	0	0	0	5	0	14	19	7	15	13	0	7	8	7	2	8	3	7	2	6	11	11	13	3	10	10	7	4	7	4	9	7	10	8	5	11	18	0	11	4	3	5	5	7	13	35	10	1	8	5	7	6	9	0	1	7	14	4	7	8	6	1	0	13	10	1	9	8
ENSG00000110104	2	0	3	3	1	4	3	2	4	2	2	2	6	4	2	3	5	1	6	3	4	7	3	4	2	3	1	2	3	3	2	2	8	2	8	19	18	8	11	11	1	2	3	2	10	14	8	14	11	14	7	23	4	4	4	5	6	5	15	4	2	1	6	21	12	4	4	3	4	4	6	20	12	3	3	15	21	3	21	1	14	2	1	8	2	1	6	3	3	5	4	10	6	2	5	4	4	2
ENSG00000110107	7	5	6	7	8	7	10	4	7	5	4	7	10	4	6	3	6	4	6	7	6	2	5	6	3	9	4	7	6	7	9	2	4	2	13	20	18	11	6	18	7	7	6	5	22	19	18	15	13	20	13	7	6	6	7	12	5	4	8	4	7	8	4	6	10	10	16	5	4	6	10	10	10	5	7	17	10	5	10	3	9	8	4	10	6	6	5	7	6	8	7	5	14	6	6	6	4	7
ENSG00000110108	8	6	5	7	8	8	16	6	7	7	5	8	10	4	7	3	7	4	5	9	6	2	6	6	3	9	4	7	6	7	11	2	4	2	9	19	18	11	7	15	7	7	6	6	23	20	17	17	19	24	14	8	7	6	8	10	4	4	6	4	8	8	6	5	11	9	19	4	4	7	11	9	7	5	8	24	10	5	12	3	10	10	4	8	7	6	5	7	6	8	6	4	11	6	6	6	4	7
ENSG00000110148	0	6	13	0	0	3	2	1	4	4	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	3	2	0	12	5	11	3	15	13	1	1	1	1	1	3	2	1	2	1	1	5	5	0	6	4	3	4	7	2	0	2	1	3	3	4	4	1	4	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	4
ENSG00000110169	2	3	0	0	2	4	3	0	1	3	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	7	7	1	5	7	0	0	7	6	2	2	4	2	2	2	3	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	4	1	2	0	0	2	0	0	1	5	1	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2
ENSG00000110171	7	7	5	5	3	7	9	4	8	5	4	4	6	3	3	4	8	3	4	7	3	3	3	9	6	9	7	6	9	9	3	4	4	5	5	17	18	5	11	17	4	8	7	4	12	9	10	7	9	7	9	10	10	6	5	8	16	20	12	5	8	7	6	2	13	7	14	12	11	7	10	14	11	6	7	9	16	7	14	7	10	7	3	4	6	5	3	4	4	4	3	5	14	4	6	3	3	6
ENSG00000110172	6	3	2	2	2	4	3	0	5	6	6	6	2	3	6	2	5	5	1	1	4	4	1	6	2	13	5	1	22	4	2	5	4	6	5	8	2	7	2	8	2	6	3	1	1	3	2	2	3	2	1	1	2	1	1	3	3	3	2	1	1	1	1	1	1	1	2	3	3	1	3	1	3	1	2	1	2	3	1	1	1	1	1	4	3	1	3	2	2	3	1	3	5	5	3	6	4	6
ENSG00000110195	1	1	5	0	1	5	5	1	1	0	0	0	1	0	0	1	3	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	6	1	0	0	0	0	0	2	2	2	2	0	1	2	8	0	0	5	2	8	9	0	1	3	10	2	0	0	0	12	1	0	4	0	9	8	0	0	4	7	1	4	0	0	1	0	0	0	7	0	3	5	6	1	0	6	1	0	3	0	1
ENSG00000110200	7	8	5	6	4	11	5	5	8	5	6	5	8	4	3	3	7	4	11	5	5	5	3	7	4	8	4	9	3	6	4	3	5	7	6	29	20	14	13	15	4	6	7	4	7	11	8	9	8	9	10	6	7	7	8	7	4	4	6	4	3	3	4	5	4	7	16	8	6	8	9	7	4	6	7	14	10	3	5	7	9	11	3	6	4	5	3	5	3	3	5	9	16	5	8	7	7	8
ENSG00000110203	0	0	0	4	0	2	1	0	0	0	0	0	7	0	0	2	0	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	6	9	15	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	5	5	0	0	0	0	0	3	0	0	0	0	6	0	0	1	0	1	0	0	1	1	2	0	2	0	1	18	3	0	0	7	0	5	3	7	0	4	9	5	6	6	4	10
ENSG00000110237	6	8	18	19	13	2	19	6	10	4	3	3	17	0	4	1	7	7	1	1	0	1	0	0	0	1	0	0	1	0	2	0	2	6	18	26	30	3	25	16	1	11	14	14	19	17	21	9	15	21	22	17	7	13	21	16	11	8	3	10	12	22	9	7	15	10	12	31	8	15	15	16	18	4	16	28	21	14	23	6	8	20	4	4	12	6	17	5	12	14	5	2	2	7	28	4	13	15
ENSG00000110243	5	4	5	4	1	5	4	0	6	5	1	2	3	2	4	2	4	9	4	4	3	3	3	2	4	10	4	5	5	6	3	3	4	9	4	22	16	4	3	10	4	5	4	9	5	4	6	4	5	8	3	4	5	4	2	4	6	6	4	4	3	4	5	5	6	3	9	6	9	3	4	3	3	2	4	6	4	3	5	3	2	3	3	4	4	2	10	4	9	5	4	6	11	3	2	4	4	12
ENSG00000110244	1	4	1	0	0	1	5	0	2	11	0	1	2	0	1	1	1	6	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	4	1	13	12	1	3	2	0	1	3	11	7	4	6	8	7	6	11	2	2	2	3	3	11	14	0	0	2	1	3	2	5	1	8	10	5	2	5	1	3	2	3	16	2	3	16	3	2	3	1	2	1	0	15	1	3	4	1	0	1	1	0	0	1	5
ENSG00000110245	1	4	0	0	0	2	5	0	2	12	0	1	2	0	1	1	1	5	0	0	1	1	1	2	1	0	0	0	1	0	1	1	1	4	4	13	11	1	3	2	0	1	3	10	9	8	9	13	12	8	19	2	2	1	3	3	10	12	0	0	2	0	3	2	2	1	4	9	1	1	5	1	3	2	3	18	2	4	15	3	3	3	1	3	1	0	13	0	1	3	1	0	3	1	0	0	1	5
ENSG00000110274	2	2	2	2	0	4	5	0	2	1	1	1	6	1	1	2	3	3	2	1	1	2	1	1	4	1	4	1	1	1	1	1	1	5	2	8	11	6	7	8	1	1	4	2	5	5	5	3	5	8	4	1	3	2	5	6	3	4	3	1	2	1	2	3	2	2	4	8	7	2	5	2	1	2	3	5	6	2	2	2	2	6	2	3	1	3	7	4	3	4	2	2	5	5	5	1	3	5
ENSG00000110315	2	1	6	6	1	1	2	1	3	2	3	1	15	1	2	1	3	4	2	4	2	1	2	1	1	4	2	2	1	1	4	1	1	3	3	8	13	8	1	1	2	5	13	1	14	15	10	8	12	10	15	1	2	3	9	14	5	5	2	6	5	2	3	5	2	2	4	3	2	2	4	3	4	2	3	4	8	2	5	1	7	5	3	2	1	3	1	4	1	2	7	3	4	7	5	3	5	11
ENSG00000110318	4	3	1	3	1	5	4	0	1	1	0	2	3	0	0	0	1	1	1	2	2	1	1	2	1	1	1	1	3	1	2	1	1	3	1	4	2	1	2	2	1	3	10	1	3	6	3	1	3	4	2	3	3	3	3	2	2	1	4	1	7	3	3	4	2	1	2	20	1	1	4	2	2	1	3	1	4	1	4	1	2	2	2	2	0	1	3	1	2	1	1	0	1	3	2	1	1	3
ENSG00000110321	4	4	8	6	3	7	9	4	9	9	2	5	5	3	1	2	4	4	2	6	10	4	1	9	6	8	4	5	12	7	6	4	4	15	5	11	9	4	3	4	2	8	3	3	5	1	2	2	5	3	1	3	6	4	3	2	3	4	4	4	3	7	5	5	2	3	6	6	6	3	7	1	2	3	3	5	2	2	3	6	5	7	5	2	4	1	1	2	4	2	2	7	9	1	2	2	3	7
ENSG00000110324	1	1	0	0	1	3	3	0	2	2	1	2	0	0	0	3	2	0	15	15	24	16	14	17	20	8	14	15	17	14	20	10	11	0	3	2	5	0	3	1	11	9	0	5	6	11	10	9	6	8	13	23	12	8	10	4	9	7	0	5	14	11	8	11	4	8	22	0	2	1	2	25	18	7	7	4	36	12	24	7	12	20	0	6	9	0	0	0	0	2	0	5	17	0	0	0	0	0
ENSG00000110328	3	4	0	0	1	1	1	0	5	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	4	5	0	4	0	3	21	3	7	7	9	4	10	17	7	4	9	0	6	4	0	0	2	1	4	3	5	3	1	8	16	1	3	0	8	4	4	8	10	6	2	5	7	2	1	1	4	0	2	0	0	5	5	5	0	0	0	0	0	4	2	0
ENSG00000110330	2	3	2	2	2	2	5	0	3	1	2	3	5	3	2	1	2	2	1	6	17	5	4	22	8	20	13	12	21	20	1	8	1	11	5	14	10	10	2	3	4	3	2	2	4	2	3	2	5	4	1	2	5	3	3	7	2	4	3	2	1	1	1	4	2	1	4	2	3	2	6	1	2	4	2	3	4	1	3	3	7	4	1	6	3	1	1	2	2	2	1	3	7	2	2	2	7	8
ENSG00000110344	3	0	0	0	1	3	4	0	2	0	1	0	3	1	1	1	0	1	1	2	9	8	6	15	8	22	14	10	11	8	5	10	6	3	9	3	7	1	3	18	12	2	0	5	2	2	1	1	3	3	2	8	4	3	6	2	1	1	0	1	1	1	1	9	3	7	3	0	1	0	9	7	2	1	3	2	11	4	11	1	9	12	2	11	1	1	1	1	1	3	1	3	6	1	2	2	1	1
ENSG00000110367	5	3	3	7	6	9	5	0	4	4	4	4	3	4	4	5	8	2	5	12	11	5	4	17	7	13	9	12	16	14	8	10	2	9	8	7	10	5	2	9	4	7	9	7	5	6	4	5	3	6	9	5	6	6	4	12	2	3	6	5	2	2	1	4	4	7	10	6	4	3	8	2	4	2	9	14	3	5	11	2	3	9	1	4	5	1	1	3	2	1	1	3	13	3	4	5	2	6
ENSG00000110375	0	2	0	1	0	6	3	0	2	1	0	1	0	0	1	1	1	0	0	0	0	0	0	3	0	1	1	0	2	0	0	0	0	0	0	2	4	0	3	4	1	0	0	1	3	2	3	0	3	4	2	0	0	0	0	3	2	3	0	0	0	0	3	1	0	0	2	0	0	3	0	1	0	0	0	7	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	2	0	0
ENSG00000110395	7	4	5	2	1	9	6	0	4	2	4	2	11	4	4	2	11	5	4	4	3	2	4	7	2	5	5	5	1	2	4	3	6	4	2	12	11	12	3	10	4	3	3	3	6	5	5	3	4	3	5	3	4	3	4	7	5	6	2	7	7	5	5	3	3	3	7	5	1	1	5	5	6	4	3	4	10	2	7	3	5	5	4	4	5	3	4	4	3	4	4	6	14	8	5	4	7	7
ENSG00000110400	8	6	2	1	13	3	11	0	7	7	0	8	2	1	7	3	10	1	2	0	0	2	2	4	2	1	1	1	0	1	0	2	1	1	0	8	10	13	10	6	3	3	2	5	26	20	22	23	21	23	23	9	3	5	11	9	12	16	19	5	8	2	10	3	3	4	5	5	10	1	2	13	8	3	4	10	13	3	17	3	9	10	1	0	3	1	2	7	1	3	5	0	3	3	0	4	3	1
ENSG00000110422	4	3	2	9	1	8	2	2	4	2	4	2	5	2	2	2	2	7	9	2	2	1	2	1	1	1	2	2	2	2	2	1	2	11	10	5	4	7	3	7	4	12	6	5	6	10	4	4	4	5	5	6	7	6	5	5	6	4	4	5	5	5	5	5	3	18	3	11	3	4	16	3	4	4	11	14	5	12	6	7	2	4	2	2	4	4	4	4	2	6	1	3	17	6	5	4	2	5
ENSG00000110427	0	0	3	3	0	2	1	0	3	0	0	0	0	0	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	8	3	0	3	0	3	0	0	10	5	4	0	9	15	0	0	0	0	0	5	0	0	0	5	2	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	3	0	0	3	5	9	2	0	0	12	4	3	0	6
ENSG00000110429	4	1	0	5	2	3	2	1	5	3	1	2	8	0	2	0	3	3	0	2	5	3	1	7	2	13	2	3	9	4	3	2	3	3	3	6	6	9	5	7	2	11	3	7	4	10	5	5	8	5	3	2	5	3	4	8	3	2	6	5	3	5	3	4	3	11	2	3	7	6	13	3	3	5	4	12	4	9	3	5	5	3	2	1	4	3	4	6	3	5	2	5	1	3	3	6	3	3
ENSG00000110435	5	5	4	3	4	6	1	2	5	2	5	1	12	4	2	5	3	5	1	1	1	1	1	6	1	6	1	1	2	2	1	2	3	8	4	6	7	3	4	11	2	9	3	7	2	4	2	1	3	5	3	1	1	3	1	5	1	1	4	1	1	2	3	5	6	4	5	2	7	2	12	1	1	2	2	1	2	4	4	1	3	2	3	2	1	2	6	2	2	3	2	5	4	4	6	3	6	4
ENSG00000110436	0	5	0	1	0	2	9	2	1	1	0	0	3	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	2	1	1	4	0	0	0	0	16	23	21	13	15	26	9	0	1	0	0	1	0	0	0	1	4	0	1	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	4	0	1	1
